checkpoint_path,status,updated_at,checkpoint_type,branch,ssl_objective,segment_ssl_method,base_seed,effective_seed,fold_index,test_subject_id,excluded_subject_id,ssl_data_scope,historical_unlabeled_pretraining,segment_feature_kind,supervised_feature_kind,encoder_kind,embedding_dim,dropout,projection_dim,pretrain_epochs,pretrain_lr,batch_size,feature_mask_prob,noise_std,lambda_latent,lambda_local,n_ssl_segments,source_feature_manifest_hash,graph_smoothness_weight,qeeg_auxiliary_enabled,lambda_qeeg,qeeg_feature_name,qeeg_scaler_hash,qeeg_fit_subject_ids,data_scope,seed
E:\AAAProjectList\EEG_PredictStokeDLModel\results\checkpoints\ssl_encoders\segssl_barlow_psd_seed1_fold02_test_sub07_emb32_pre20_all-patient.pt,saved,2026-05-27T14:04:55.643079+00:00,segment_ssl_encoder,psd,barlow,segment_barlow,1,3,2,sub07,sub07,all-patient,True,psd,psd-fc-wpli,cnn,32,0.0,32,20,0.001,16,0.03,0.02,1.0,0.1,16316,767aede806781fc1343b2fb8fd5fb97628c3c10b14b56f496befd356d2b3b7f5,,,,,,,,
E:\AAAProjectList\EEG_PredictStokeDLModel\results\checkpoints\ssl_encoders\segssl_barlow_psd_seed1_fold03_test_sub08_emb32_pre20_all-patient.pt,saved,2026-05-27T14:09:24.914885+00:00,segment_ssl_encoder,psd,barlow,segment_barlow,1,4,3,sub08,sub08,all-patient,True,psd,psd-fc-wpli,cnn,32,0.0,32,20,0.001,16,0.03,0.02,1.0,0.1,16371,333f139bed2ff3dd738f189d08aa1b4b8a871c7e4255990c8550162ae9c71d93,,,,,,,,
E:\AAAProjectList\EEG_PredictStokeDLModel\results\checkpoints\ssl_encoders\segssl_barlow_psd_seed1_fold04_test_sub09_emb32_pre20_all-patient.pt,saved,2026-05-27T14:13:39.458228+00:00,segment_ssl_encoder,psd,barlow,segment_barlow,1,5,4,sub09,sub09,all-patient,True,psd,psd-fc-wpli,cnn,32,0.0,32,20,0.001,16,0.03,0.02,1.0,0.1,16494,e6cbc7851e35d026194abfde1999c62e5b0ba7400c0fa21433c3edd656f212aa,,,,,,,,
E:\AAAProjectList\EEG_PredictStokeDLModel\results\checkpoints\ssl_encoders\segssl_barlow_psd_seed1_fold05_test_sub10_emb32_pre20_all-patient.pt,saved,2026-05-27T14:17:53.933570+00:00,segment_ssl_encoder,psd,barlow,segment_barlow,1,6,5,sub10,sub10,all-patient,True,psd,psd-fc-wpli,cnn,32,0.0,32,20,0.001,16,0.03,0.02,1.0,0.1,16426,5adcc52880854a73cd6b57ff5b73dd0e7e6f07fdd69bfbfec52fdbfb8d4c4879,,,,,,,,
E:\AAAProjectList\EEG_PredictStokeDLModel\results\checkpoints\ssl_encoders\segssl_barlow_psd_seed1_fold06_test_sub11_emb32_pre20_all-patient.pt,saved,2026-05-27T14:22:20.526892+00:00,segment_ssl_encoder,psd,barlow,segment_barlow,1,7,6,sub11,sub11,all-patient,True,psd,psd-fc-wpli,cnn,32,0.0,32,20,0.001,16,0.03,0.02,1.0,0.1,16420,b1aac61443e8005521e83f3a54f16f28488ec7bb961d57563c0965a3207cb04f,,,,,,,,
E:\AAAProjectList\EEG_PredictStokeDLModel\results\checkpoints\ssl_encoders\segssl_barlow_psd_seed1_fold07_test_sub13_emb32_pre20_all-patient.pt,saved,2026-05-27T14:26:56.328656+00:00,segment_ssl_encoder,psd,barlow,segment_barlow,1,8,7,sub13,sub13,all-patient,True,psd,psd-fc-wpli,cnn,32,0.0,32,20,0.001,16,0.03,0.02,1.0,0.1,16452,ae9000bfddcaa8a605342295ea6f05f6da64b047a7bd5c3d5a02e4d81f9a5106,,,,,,,,
E:\AAAProjectList\EEG_PredictStokeDLModel\results\checkpoints\ssl_encoders\segssl_barlow_psd_seed1_fold08_test_sub14_emb32_pre20_all-patient.pt,saved,2026-05-27T14:31:10.184013+00:00,segment_ssl_encoder,psd,barlow,segment_barlow,1,9,8,sub14,sub14,all-patient,True,psd,psd-fc-wpli,cnn,32,0.0,32,20,0.001,16,0.03,0.02,1.0,0.1,16443,54c2e60aa77fc300b586aaf95444f4d96d01d2da71341cad28d41e981d967a95,,,,,,,,
E:\AAAProjectList\EEG_PredictStokeDLModel\results\checkpoints\ssl_encoders\segssl_barlow_psd_seed1_fold09_test_sub15_emb32_pre20_all-patient.pt,saved,2026-05-27T14:35:16.991872+00:00,segment_ssl_encoder,psd,barlow,segment_barlow,1,10,9,sub15,sub15,all-patient,True,psd,psd-fc-wpli,cnn,32,0.0,32,20,0.001,16,0.03,0.02,1.0,0.1,16361,437f599ed57b71148f346f2d61413fd4766ad2e3f3ae7a774f20e1846bd65fdc,,,,,,,,
E:\AAAProjectList\EEG_PredictStokeDLModel\results\checkpoints\ssl_encoders\segssl_barlow_psd_seed13_fold00_test_sub01_emb32_pre20_all-patient.pt,saved,2026-05-27T18:42:24.868557+00:00,segment_ssl_encoder,psd,barlow,segment_barlow,13,13,0,sub01,sub01,all-patient,True,psd,psd-fc-wpli,cnn,32,0.0,32,20,0.001,16,0.03,0.02,1.0,0.1,16318,9f37c9fdec6654d34ec6754f62c7051bb005b375a50f8c74f8404adcc9440c80,,,,,,,,
E:\AAAProjectList\EEG_PredictStokeDLModel\results\checkpoints\ssl_encoders\segssl_barlow_psd_seed13_fold01_test_sub05_emb32_pre20_all-patient.pt,saved,2026-05-27T18:46:04.188088+00:00,segment_ssl_encoder,psd,barlow,segment_barlow,13,14,1,sub05,sub05,all-patient,True,psd,psd-fc-wpli,cnn,32,0.0,32,20,0.001,16,0.03,0.02,1.0,0.1,16319,5aef0274fa5f86085251857e46ee14213e980d985754556581f8fb7c27dde0b5,,,,,,,,
E:\AAAProjectList\EEG_PredictStokeDLModel\results\checkpoints\ssl_encoders\segssl_barlow_psd_seed13_fold10_test_sub16_emb32_pre20_all-patient.pt,saved,2026-05-27T19:19:08.883977+00:00,segment_ssl_encoder,psd,barlow,segment_barlow,13,23,10,sub16,sub16,all-patient,True,psd,psd-fc-wpli,cnn,32,0.0,32,20,0.001,16,0.03,0.02,1.0,0.1,16355,b630688bb291072808548532cb35b4ba764848378f4a3c348445bd8e867be86c,,,,,,,,
E:\AAAProjectList\EEG_PredictStokeDLModel\results\checkpoints\ssl_encoders\segssl_barlow_psd_seed13_fold11_test_sub17_emb32_pre20_all-patient.pt,saved,2026-05-27T19:22:47.040616+00:00,segment_ssl_encoder,psd,barlow,segment_barlow,13,24,11,sub17,sub17,all-patient,True,psd,psd-fc-wpli,cnn,32,0.0,32,20,0.001,16,0.03,0.02,1.0,0.1,16322,610157550c726ed66edb582a53bc1773bdf5ebd89b8d32a09605bb0cf40cd495,,,,,,,,
E:\AAAProjectList\EEG_PredictStokeDLModel\results\checkpoints\ssl_encoders\segssl_barlow_psd_seed13_fold12_test_sub18_emb32_pre20_all-patient.pt,saved,2026-05-27T19:26:28.153582+00:00,segment_ssl_encoder,psd,barlow,segment_barlow,13,25,12,sub18,sub18,all-patient,True,psd,psd-fc-wpli,cnn,32,0.0,32,20,0.001,16,0.03,0.02,1.0,0.1,16392,43d1ab1b3a83f4f6cad97eae059263489af291db7ca35b7c4226722ba134b6dc,,,,,,,,
E:\AAAProjectList\EEG_PredictStokeDLModel\results\checkpoints\ssl_encoders\segssl_barlow_psd_seed13_fold13_test_sub20_emb32_pre20_all-patient.pt,saved,2026-05-27T19:30:09.120791+00:00,segment_ssl_encoder,psd,barlow,segment_barlow,13,26,13,sub20,sub20,all-patient,True,psd,psd-fc-wpli,cnn,32,0.0,32,20,0.001,16,0.03,0.02,1.0,0.1,16432,2fcf399eb65f919314d8d1dfc1c2165f1e6449f5d430428e620858fbf04f4223,,,,,,,,
E:\AAAProjectList\EEG_PredictStokeDLModel\results\checkpoints\ssl_encoders\segssl_barlow_psd_seed13_fold14_test_sub22_emb32_pre20_all-patient.pt,saved,2026-05-27T19:33:49.746288+00:00,segment_ssl_encoder,psd,barlow,segment_barlow,13,27,14,sub22,sub22,all-patient,True,psd,psd-fc-wpli,cnn,32,0.0,32,20,0.001,16,0.03,0.02,1.0,0.1,16411,9c804e5a97e7f4d627ebc0cd810a3edecaadb62fcd8accb1a931a1721e4ab7fc,,,,,,,,
E:\AAAProjectList\EEG_PredictStokeDLModel\results\checkpoints\ssl_encoders\segssl_barlow_psd_seed13_fold15_test_sub24_emb32_pre20_all-patient.pt,saved,2026-05-27T19:37:29.559556+00:00,segment_ssl_encoder,psd,barlow,segment_barlow,13,28,15,sub24,sub24,all-patient,True,psd,psd-fc-wpli,cnn,32,0.0,32,20,0.001,16,0.03,0.02,1.0,0.1,16385,c62804d793022bc621b65d605bfb533ee46844e008b52758838a138cbb810f93,,,,,,,,
E:\AAAProjectList\EEG_PredictStokeDLModel\results\checkpoints\ssl_encoders\segssl_barlow_psd_seed13_fold16_test_sub27_emb32_pre20_all-patient.pt,saved,2026-05-27T19:41:07.402867+00:00,segment_ssl_encoder,psd,barlow,segment_barlow,13,29,16,sub27,sub27,all-patient,True,psd,psd-fc-wpli,cnn,32,0.0,32,20,0.001,16,0.03,0.02,1.0,0.1,16299,51715e7eb09e57de0c3b8922e689e6458abc99faf48da0ba9f32db0a0eb99f6d,,,,,,,,
E:\AAAProjectList\EEG_PredictStokeDLModel\results\checkpoints\ssl_encoders\segssl_barlow_psd_seed13_fold17_test_sub28_emb32_pre20_all-patient.pt,saved,2026-05-27T19:44:47.574822+00:00,segment_ssl_encoder,psd,barlow,segment_barlow,13,30,17,sub28,sub28,all-patient,True,psd,psd-fc-wpli,cnn,32,0.0,32,20,0.001,16,0.03,0.02,1.0,0.1,16344,63a738abb31758774ce24038c6de900dfc6d0aafdd10929f59e845db3a2e632c,,,,,,,,
E:\AAAProjectList\EEG_PredictStokeDLModel\results\checkpoints\ssl_encoders\segssl_barlow_psd_seed13_fold18_test_sub29_emb32_pre20_all-patient.pt,saved,2026-05-27T19:48:30.082013+00:00,segment_ssl_encoder,psd,barlow,segment_barlow,13,31,18,sub29,sub29,all-patient,True,psd,psd-fc-wpli,cnn,32,0.0,32,20,0.001,16,0.03,0.02,1.0,0.1,16460,d92882b910931e0e355c908525d02f8aa412515e8cd0c58c9330fc1075f4b9fa,,,,,,,,
E:\AAAProjectList\EEG_PredictStokeDLModel\results\checkpoints\ssl_encoders\segssl_barlow_psd_seed13_fold02_test_sub07_emb32_pre20_all-patient.pt,saved,2026-05-27T18:49:43.461978+00:00,segment_ssl_encoder,psd,barlow,segment_barlow,13,15,2,sub07,sub07,all-patient,True,psd,psd-fc-wpli,cnn,32,0.0,32,20,0.001,16,0.03,0.02,1.0,0.1,16316,767aede806781fc1343b2fb8fd5fb97628c3c10b14b56f496befd356d2b3b7f5,,,,,,,,
