state,channel,channel_index,frequency_hz,frequency_bin,band,mean_signed_attribution,mean_abs_attribution,std_abs_attribution,n_samples,positive_mean_abs_attribution,negative_mean_abs_attribution,correct_only_mean_abs_attribution,spearman_residual_r,spearman_residual_p,spearman_signed_distance_r,spearman_signed_distance_p,label_group_permutation_p,positive_mean_value,negative_mean_value,spearman_signed_distance_fdr_p,feature_family,edge_index,channel_i,channel_j,channel_i_index,channel_j_index,band_index,network_group,interhemispheric,summary_name,n_subjects,mean_abs_value,mean_signed_value,effect_direction,spearman_signed_attribution_distance_r,spearman_signed_attribution_distance_p,group_permutation_fdr_p
EO,TP7,32.0,25.5,50.0,Beta High,-0.0009264569964371,0.0014176515907999,0.0029617968150799,190.0,0.0007771002198751,0.002129375336272,0.0013305141875598,0.3159280690271501,0.1876171912741799,-0.3159280690271501,0.1876171912741799,0.2137862137862138,0.3064260601997375,0.4328343123197555,0.4467075982718569,psd,,,,,,,,,,,,,,,,
EO,FC5,15.0,3.0,5.0,Delta,-0.0010616595878673,0.0014191589625744,0.0048486425460166,190.0,0.0003684446009628,0.002586619364365,0.001258728672623,0.3220711148137891,0.1787126633560611,-0.3220711148137891,0.1787126633560611,0.0389610389610389,1.2346656322479248,3.573403980996874,0.4467075982718569,psd,,,,,,,,,,,,,,,,
EO,FPZ,1.0,42.0,83.0,Other,-0.0012277078631065,0.0014480300197165,0.0054358171508161,190.0,0.000203144549718,0.0028312360974925,0.0016505727461281,0.4071961778572156,0.083570199140773,-0.4071961778572156,0.083570199140773,0.0059940059940059,0.1493797980248928,0.5445562932226393,0.4467075982718569,psd,,,,,,,,,,,,,,,,
EO,C5,24.0,34.0,67.0,Other,-0.0008647919673756,0.00136541817231,0.0019137007188003,190.0,0.0004839862651897,0.0023447869579992,0.0012234469127893,0.5186485799862379,0.0228943565037129,-0.5186485799862379,0.0228943565037129,0.0089910089910089,0.1212502159178257,0.2809154689311981,0.4467075982718569,psd,,,,,,,,,,,,,,,,
EO,FPZ,1.0,44.5,88.0,Other,-0.0013197898927345,0.0014656737340882,0.0054461645175999,190.0,0.0001476840144107,0.0029301067559521,0.0015715471552302,0.3835015726801793,0.1050530894856317,-0.3835015726801793,0.1050530894856317,0.0189810189810189,0.164234571903944,0.6139060896303918,0.4467075982718569,psd,,,,,,,,,,,,,,,,
EO,FPZ,1.0,41.5,82.0,Other,-0.0012702260809192,0.001475435289936,0.0055505049383053,190.0,0.0001708555837239,0.0029249682968383,0.0016893362291235,0.4054410219181759,0.0850404028507448,-0.4054410219181759,0.0850404028507448,0.0079920079920079,0.1516424745321273,0.5802056441704432,0.4467075982718569,psd,,,,,,,,,,,,,,,,
EO,FPZ,1.0,44.0,87.0,Other,-0.00116957319068,0.0013566642656497,0.0054500380396703,190.0,0.0001918782394323,0.0026508709614467,0.0015691962532515,0.3255814266918685,0.1737547511769871,-0.3255814266918685,0.1737547511769871,0.0179820179820179,0.1618688575923443,0.5832714007960426,0.4467075982718569,psd,,,,,,,,,,,,,,,,
EO,FC5,15.0,3.5,6.0,Delta,-0.0011767465099565,0.0015306377082627,0.0053158096467107,190.0,0.0003654239751903,0.0028253196338987,0.0013552384497352,0.3554190776555438,0.1353530822302752,-0.3554190776555438,0.1353530822302752,0.0319680319680319,0.981485879421234,2.757612327734629,0.4467075982718569,psd,,,,,,,,,,,,,,,,
EO,F5,6.0,2.0,3.0,Delta,-0.0012908146951492,0.0015589049029498,0.005922744016097,190.0,0.0003356905200524,0.0029180319950581,0.0014090701736726,0.487055773083523,0.0344319081565233,-0.487055773083523,0.0344319081565233,0.0309690309690309,2.5652457416057586,9.287320309215122,0.4467075982718569,psd,,,,,,,,,,,,,,,,
EO,TP7,32.0,23.5,46.0,Beta High,-0.0009930081094412,0.0015268702590494,0.0026656050998351,190.0,0.000994899065572,0.0021179493629132,0.0015089949858688,0.3176832249661898,0.1850432878628758,-0.3176832249661898,0.1850432878628758,0.1008991008991009,0.3320570707321167,0.4957607289155324,0.4467075982718569,psd,,,,,,,,,,,,,,,,
EO,F5,6.0,1.5,2.0,Delta,-0.0014436867199534,0.0017270988394802,0.0066998711857607,190.0,0.0002829214140808,0.0033317404232573,0.0014726421658452,0.4624835899369668,0.046177323613132,-0.4624835899369668,0.046177323613132,0.0309690309690309,4.580057060718536,18.526002751456367,0.4467075982718569,psd,,,,,,,,,,,,,,,,
EO,FPZ,1.0,40.5,80.0,Other,-0.0013161182898073,0.0015849520143611,0.0060663786344008,190.0,0.0001988664735676,0.0031250470596871,0.0018297115250834,0.3580518115641033,0.1322782151149332,-0.3580518115641033,0.1322782151149332,0.0179820179820179,0.1638727650046348,0.5930608361959457,0.4467075982718569,psd,,,,,,,,,,,,,,,,
EO,TP7,32.0,25.0,49.0,Beta High,-0.0009992551765004,0.0015129584043291,0.0031948105541841,190.0,0.0008037555451391,0.0023009615812068,0.0013987400856029,0.3501536098384246,0.1416525285350461,-0.3501536098384246,0.1416525285350461,0.1318681318681318,0.3016779199242592,0.4696879817379845,0.4467075982718569,psd,,,,,,,,,,,,,,,,
EO,FPZ,1.0,41.0,81.0,Other,-0.0014280989997342,0.0016351308696399,0.006395417901314,190.0,0.0001686828969991,0.0032645175059074,0.0019071973587044,0.3905221964363383,0.0983129438256699,-0.3905221964363383,0.0983129438256699,0.0109890109890109,0.1568133778870105,0.6173663213849068,0.4467075982718569,psd,,,,,,,,,,,,,,,,
EO,TP7,32.0,45.0,89.0,Other,-0.001033797943647,0.0015150138622411,0.0026048412208793,190.0,0.0014527460529279,0.0015842003170335,0.0014536115109406,0.2746819044597166,0.2550834102818493,-0.2746819044597166,0.2550834102818493,0.4925074925074925,0.2331578359007835,0.2947368986076779,0.4732474447375521,psd,,,,,,,,,,,,,,,,
