feature_id,k,n_selected,n_seeds,selection_frequency,feature_family,stability_metric,seed_a,seed_b,spearman_corr,jaccard_similarity,mean_abs_attribution,bootstrap_ci_low,bootstrap_ci_high,n_subjects,validation_source,group_name,delta_probability
EC|CP2|Delta,20.0,1.0,10.0,0.1,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|CP6|Delta,20.0,1.0,10.0,0.1,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|CPZ|Alpha,20.0,1.0,10.0,0.1,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|CPZ|Delta,20.0,1.0,10.0,0.1,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|CZ|Beta High,20.0,1.0,10.0,0.1,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|CZ|Beta Medium,20.0,1.0,10.0,0.1,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|F8|Alpha,20.0,1.0,10.0,0.1,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|F8|Beta Medium,20.0,1.0,10.0,0.1,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|FT7|Beta High,20.0,1.0,10.0,0.1,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|FT7|Beta Low,20.0,1.0,10.0,0.1,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|FT7|Beta Medium,20.0,1.0,10.0,0.1,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|FT8|Beta High,20.0,1.0,10.0,0.1,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|FT8|Beta Low,20.0,1.0,10.0,0.1,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|FT8|Beta Medium,20.0,1.0,10.0,0.1,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|FT8|Delta,20.0,1.0,10.0,0.1,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|PO5|Beta High,20.0,1.0,10.0,0.1,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
