state,channel,channel_index,band,mean_signed_attribution,mean_abs_attribution,std_abs_attribution,n_samples,positive_mean_abs_attribution,negative_mean_abs_attribution,correct_only_mean_abs_attribution
EC,PO3,52,Gamma,-0.00012938258535209195,0.00016517942081668534,0.0018953221677536663,5890,3.9690187287100814e-05,0.0003046119025162237,0.0001928192316899046
EC,PO3,52,Theta,-6.208460416647271e-05,9.015528024425092e-05,0.0007465093825133382,1520,3.116364571031729e-05,0.00015570154083751052,0.0001046176468461335
EC,PO4,54,Alpha,-5.993436882149271e-05,8.75574012916567e-05,0.00027873300030235984,1900,7.836237627215531e-05,9.777409575776937e-05,9.798954523377471e-05
EC,PO4,54,Beta High,4.577003892168691e-05,0.00014934532785708558,0.0013434896306779422,3420,8.158528970136497e-05,0.00022463425914121956,0.00017447004080441107
EC,PO4,54,Beta Low,-2.017191212239086e-05,9.240369881973166e-05,0.00043610452606884087,1900,6.750332713103454e-05,0.00012007077847383957,0.00010477755422279165
EC,PO4,54,Beta Medium,-5.430681883406124e-07,0.00010617212936583995,0.0005891840623607703,1140,5.194040855018739e-05,0.00016642959693878725,0.00011894342752225327
EC,PO4,54,Delta,0.00012376434752926316,0.00019350771164650647,0.0025363899158926877,1330,4.394399556115638e-05,0.00035968961840800656,0.00022599262915181306
EC,PO4,54,Gamma,4.7617377324628074e-05,0.00011899712536543028,0.0011086832355088,5890,6.404979221945869e-05,0.00018004971774984317,0.00013726918673114932
EC,PO4,54,Theta,3.105880368392988e-06,0.0001075569439454752,0.0008856788788930349,1520,4.458089011767584e-05,0.00017753033708747446,0.00012489132049028453
EC,PO5,51,Alpha,-0.00010921649877402034,0.00014221901739034875,0.0011445555254585786,1900,8.428268972551951e-05,0.0002065927147957146,0.0001658865505661847
EC,PO5,51,Beta High,-0.00023694384887162757,0.00027822149363129707,0.0034773548818340517,3420,3.293043374171102e-05,0.0005507671157308371,0.0003285909165420776
EC,PO5,51,Beta Low,-0.00016672908968202974,0.00020159398302141085,0.0023115462021804823,1900,3.700263912498315e-05,0.00038447325401744166,0.0002346139491913233
EC,PO5,51,Beta Medium,-0.00018693564999529977,0.00022491642655802574,0.0025978995456541194,1140,3.385940616754684e-05,0.00043720200476966896,0.00026099341268020034
