network_group,band,mean_abs_attribution,mean_signed_attribution,n_edges
occipital|temporal,Beta Low,0.0006400638921677842,0.00032928101519389693,24
occipital|temporal,Beta Medium,0.0005560646340006451,-0.00017955838562140876,24
occipital|temporal,Delta,0.0004428544415033746,8.554458316528115e-05,24
occipital|temporal,Theta,0.0004931257535890258,0.00011913992844371156,24
parietal,Alpha,0.0005533261334245657,-4.1659259093222444e-05,240
parietal,Beta High,0.0006727720358824901,0.00011485038217164252,240
parietal,Beta Low,0.0006441997737011617,0.0003063553044581609,240
parietal,Beta Medium,0.0006537585469141621,-0.00026664742474291874,240
parietal,Delta,0.0004921543965666005,0.00012983956584741908,240
parietal,Theta,0.00042392177428733754,6.789657345326849e-05,240
parietal|temporal,Alpha,0.0004963883178889797,-4.223091245746525e-05,128
parietal|temporal,Beta High,0.0007232784887373405,0.00017151589406602959,128
parietal|temporal,Beta Low,0.00066478920116159,0.0002733880328962897,128
parietal|temporal,Beta Medium,0.0006124611229299262,-0.00022187212177873097,128
parietal|temporal,Delta,0.0004314801918430949,7.212926663238174e-05,128
parietal|temporal,Theta,0.0004974176812132539,8.70694290583172e-06,128
temporal,Alpha,0.0004789936111581874,-7.02950304128508e-05,12
temporal,Beta High,0.0007825820933729744,5.535603813725653e-05,12
temporal,Beta Low,0.0006237386674995613,0.00020561589182588804,12
temporal,Beta Medium,0.0005758482846841013,-1.6928043059153575e-05,12
temporal,Delta,0.0004299200066766762,0.00013632463782467085,12
temporal,Theta,0.00043688834084090034,4.676162052130178e-05,12
