state,frequency_hz,frequency_bin,band,mean_signed_attribution,mean_abs_attribution,std_abs_attribution,n_samples,positive_mean_abs_attribution,negative_mean_abs_attribution,correct_only_mean_abs_attribution
EC,15.0,29,Beta Low,-6.226749054614772e-05,0.00012811098950055345,0.0012639358557059712,11780,4.735840548004101e-05,0.0002178360828566784,0.00014888381441474521
EC,15.5,30,Beta Low,-8.176250131032918e-05,0.00012742312768777668,0.0013655983579057664,11780,5.573802059855341e-05,0.00020707324667580256,0.0001476011421677986
EC,16.0,31,Beta Low,-8.645822005827106e-05,0.00012304224566581461,0.001163283042515086,11780,6.077786624678399e-05,0.00019222488946473758,0.00014200565437203356
EC,16.5,32,Beta Low,-7.291619500421904e-05,0.00011864899487412283,0.0012413388475320006,11780,5.964174195815128e-05,0.0001842126092252023,0.00013636531015320764
EC,17.0,33,Beta Low,-9.133441416296429e-05,0.00013962723735987936,0.001727973942129824,11780,6.648104577352957e-05,0.0002209007835669347,0.0001611829932850238
EC,17.5,34,Beta Low,-6.568770246591852e-05,0.00013726757206693828,0.001586669151563571,11780,5.88777514890896e-05,0.00022436737270899236,0.00015809774760379533
EC,18.0,35,Beta Medium,-6.204509912158956e-05,0.00013482298755432905,0.001720257924773966,11780,5.184841463245873e-05,0.0002270169574675183,0.00015525400111817935
EC,18.5,36,Beta Medium,-0.00010566937268356705,0.0001570850945612671,0.0023166615788744664,11780,4.883808860977072e-05,0.0002773595456184853,0.00018228301243974085
EC,19.0,37,Beta Medium,-3.890547036927953e-05,0.00014726346164641295,0.002263079828734273,11780,4.247226966724336e-05,0.00026369811940104584,0.00017109392374456097
EC,19.5,38,Beta Medium,-7.017179718311384e-05,0.00013155380662427984,0.0015648224562124222,11780,4.3106630874603585e-05,0.00022982844634614237,0.00015270387521192595
EC,20.0,39,Beta Medium,-9.416679889626494e-05,0.0001456898652790778,0.0019783231877674463,11780,5.0907471710712794e-05,0.0002510036359105945,0.00016969240116226867
EC,20.5,40,Beta Medium,-6.074316953498904e-05,0.00012797554766531474,0.0016010624483950408,11780,4.4312945577285145e-05,0.0002209339944297921,0.0001483185074366857
EC,21.0,41,Beta High,-7.295562359138394e-05,0.00011939013198208472,0.0016042345095680836,11780,4.639176245613082e-05,0.00020049943145536683,0.0001379883143776037
EC,21.5,42,Beta High,-6.686331848027465e-05,0.00011484931558915631,0.0010720425177128694,11780,5.483057467932245e-05,0.0001815368054889717,0.00013286117607205105
