state,edge_index,channel_i,channel_j,channel_i_index,channel_j_index,band,band_index,mean_signed_attribution,mean_abs_attribution,std_abs_attribution,n_samples,positive_mean_abs_attribution,negative_mean_abs_attribution,correct_only_mean_abs_attribution,network_group,interhemispheric
EC,408,F3,F2,7,10,Beta High,5,5.3827020861992037e-05,0.0015228153650241002,0.002317894002752316,190,0.0014209381273212333,0.0016360122958050637,0.0017278469086423982,frontal,True
EC,1059,FC4,PO7,20,50,Beta High,5,0.00010616521769741904,0.0015227094763303726,0.0017518376404837138,190,0.0015638744207171382,0.0014769706492339663,0.0016393334856918075,frontal|parietal,True
EC,794,FT7,P2,14,46,Beta High,5,-7.366980496022027e-05,0.001522597197078114,0.0020292487403898306,190,0.0010117993592484312,0.0020901503502222052,0.0015944799183756778,frontal|parietal,True
EC,1370,C4,CP2,29,37,Beta High,5,4.8258815738666785e-05,0.0015224429855295442,0.0019974981737315724,190,0.0012628818525262878,0.0018108442444220512,0.0015651546104290138,central,False
EC,623,F4,FC2,11,19,Beta Medium,4,-0.0006802547524856727,0.0015222538986586882,0.0018019021263140126,190,0.0012911118169403803,0.0017790784339012525,0.001735261669702843,frontal,False
EC,476,F1,C3,8,25,Beta Low,3,0.00033763689737402697,0.0015222247629241184,0.002287877642271416,190,0.0020469704632341272,0.0009391739848018869,0.0015697017599718586,central|frontal,False
EC,914,FC1,T8,17,31,Beta Medium,4,-0.0008824048447446501,0.001522163127037813,0.0023731566705707443,190,0.0018376597096721075,0.0011716113685552637,0.001721491420122067,frontal|temporal,True
EC,37,FP1,CP4,0,38,Beta Low,3,0.0004688698522218774,0.001522084898811244,0.001944699540897147,190,0.0013699258949963738,0.0016911504586055442,0.001459080687137454,central|frontal,True
EC,597,F2,P3,10,43,Beta High,5,0.00011085354584026865,0.0015218582626929196,0.0015460196921540193,190,0.001261447284955422,0.0018112037935123614,0.0016042753441470078,frontal|parietal,True
EC,1581,CPZ,PO3,36,52,Beta Medium,4,-0.0006383218778840896,0.0015217715462958964,0.0018447279957570768,190,0.0017262279470196071,0.0012945977677139954,0.0015688640886100931,central|parietal,False
