state,band,channel,node_importance,mean_signed_attribution
EC,Alpha,TP8,0.001006216541116859,1.9714249674563174e-05
EC,Alpha,CP6,0.000999880247305144,7.2781505277932004e-06
EC,Theta,CB1,0.0009998531189332825,7.970522906161467e-05
EC,Delta,FT7,0.000999400016842871,0.00034301663113540107
EC,Alpha,T8,0.000997760173374258,-9.48753208184299e-05
EC,Alpha,C5,0.0009971145842967784,-6.557593800053969e-05
EC,Delta,PO5,0.0009954360042418585,0.00012619834775611316
EC,Theta,AF4,0.000994158672891827,3.667530815649361e-05
EC,Alpha,CB2,0.0009934896811274311,-0.0002119089725123879
EC,Theta,C4,0.0009927628856668243,1.2364115856636944e-05
EC,Alpha,CP3,0.0009921561602446738,-0.0001730122301777762
EC,Delta,P7,0.0009919700702133076,0.00016913857367503347
EC,Theta,F1,0.0009913379524328324,-6.14888048297601e-05
EC,Delta,OZ,0.0009902683576294364,6.311162164127013e-05
EC,Alpha,F2,0.0009888767074143357,-2.7252359453697723e-05
EC,Theta,AF3,0.0009873852165603507,-1.273242766217181e-05
EC,Alpha,P7,0.000987214346720109,-4.277577433043385e-05
EC,Delta,FPZ,0.000985375288137251,0.00021893166051417746
EC,Theta,F7,0.0009853053770592854,4.639391497326637e-05
EC,Delta,PO7,0.0009848430076284343,0.00014493817279545538
EC,Delta,FC5,0.000984753291633873,0.00041234796948181273
EC,Theta,FCZ,0.0009846809616962501,-3.066373612124431e-05
EC,Theta,FT8,0.0009845869560716773,-0.00012017928367500104
EC,Theta,F5,0.0009837586492120382,0.0001016400879403405
EC,Theta,FC2,0.000982861625702413,-2.9092748326061825e-06
EC,Theta,O2,0.0009801693201010467,0.0002520574300971087
EC,Theta,FC5,0.000979805067358813,0.0001704539147051435
EC,Theta,FPZ,0.000979589200445121,-2.218703923980203e-06
EC,Theta,PO7,0.0009772118012059392,0.00011280411218450446
EC,Delta,P8,0.0009769225099219177,0.0002463148839634198
EC,Alpha,FC5,0.0009766519816170969,-7.629709671760465e-05
EC,Theta,O1,0.0009760201934927375,4.2692003685501066e-05
EC,Theta,P5,0.0009759157525463375,3.905986079009007e-05
EC,Alpha,C2,0.0009752397884316389,6.3115847086073665e-06
EC,Theta,FC1,0.0009750543543437749,-0.00010489560313822809
EC,Theta,TP8,0.000972677459677824,-2.7449044046039678e-05
EC,Theta,CP5,0.0009716394062941978,7.609270350252895e-05
EC,Theta,PO5,0.0009706771367929686,0.00010420123085332407
EC,Alpha,F7,0.0009701051774766388,3.648602609837593e-05
EC,Theta,T7,0.0009700660458559477,7.898728598457295e-05
EC,Delta,PO6,0.0009685289122776939,0.0003299865577725734
EC,Theta,P7,0.0009682683521041215,8.879222309578557e-05
EC,Theta,CP3,0.000964991325289812,7.82602629211995e-06
EC,Theta,P6,0.0009643591170005184,0.00011755832294364015
EC,Theta,OZ,0.0009639649942027333,-2.8508743983353408e-05
EC,Delta,P6,0.0009626674327657611,0.0002740545505968711
EC,Theta,CB2,0.0009623768600241308,0.0002482844258707089
EC,Theta,CPZ,0.0009605294855688557,-7.602585845471949e-05
EC,Theta,P3,0.000960266927446616,-3.057551593332234e-05
EC,Theta,C6,0.0009594508744832118,-5.112584517573894e-05
EC,Delta,FC3,0.000957252427309032,0.0001791261855892629
EC,Delta,PO8,0.000956499165266842,0.0002997108021200578
EC,Delta,CP6,0.0009559738453946155,0.0002704987684356163
EC,Delta,CP5,0.0009550986478423335,0.00023375219384908714
EC,Delta,PO4,0.0009528594353021964,0.00022472422559867913
EC,Theta,FC4,0.0009520187593476963,3.0245698541120095e-05
EC,Theta,P4,0.0009508369488014697,6.253486944328987e-05
EC,Theta,TP7,0.0009502475600500615,0.00011155794861632438
EC,Delta,C1,0.0009498783954362602,0.0003099948489166674
EC,Theta,C2,0.0009494623229103535,0.00011470391399359784
EC,Theta,PO4,0.0009475712096415784,5.599171876597397e-05
EC,Delta,P5,0.0009468687816248749,0.00017418224968115771
EC,Delta,TP8,0.0009447459023857915,0.00017409303595976864
EC,Theta,PO3,0.0009435274551305702,8.071469797662615e-05
EC,Theta,CP6,0.0009420509768374417,3.910305033277669e-06
EC,Delta,CP4,0.0009413867531519252,0.00011199226180947107
EC,Delta,C3,0.000938989758827806,0.00019034456258067424
EC,Delta,PO3,0.0009367476788306024,0.00026301528973576713
EC,Delta,C2,0.0009340649290982629,0.00021842743539426924
EC,Delta,P1,0.0009330017370059629,0.0002787722817947879
EC,Theta,FT7,0.0009319085429447424,0.00010793788084721026
EC,Theta,PO8,0.0009318005758319355,0.00022061545936403391
EC,Theta,FC6,0.000931426645500342,-2.5643326507404974e-05
EC,Delta,P3,0.0009295957660161817,0.0001523729726435853
EC,Theta,P2,0.0009283925236373921,-6.925161391114183e-05
EC,Delta,O1,0.0009275201017036126,0.00021137530231004042
EC,Theta,P8,0.0009247263652099059,8.383161284910403e-05
EC,Theta,FC3,0.0009217042424588445,-4.395650849689964e-05
EC,Delta,P4,0.0009195022444694432,0.0003281996795069044
EC,Delta,POZ,0.0009193693130483543,0.00010771691676682342
EC,Theta,C3,0.0009191543098966489,-1.901418516881138e-05
EC,Delta,AF3,0.0009185462954765251,0.0002496245535203269
EC,Delta,F4,0.0009180240026161447,0.00019430922313869568
EC,Theta,PO6,0.0009166453584585726,0.00021530503626692073
EC,Delta,CP1,0.0009135120640180644,0.0003337524927531973
EC,Delta,F8,0.0009126371779545188,0.0002016214222310817
EC,Delta,FCZ,0.0009093894012929068,0.00019659057478506916
EC,Delta,CB2,0.0009082249049415845,0.00017238576162644062
EC,Theta,C5,0.0009057460003572328,0.00011933237765512103
EC,Delta,CZ,0.0009056490693652969,0.0003838449963073835
EC,Delta,F7,0.0009054332455552212,0.0002627105502593225
EC,Delta,CP2,0.0009019187779634575,0.00011075782888810398
EC,Delta,F2,0.0009002347122803803,0.0001919087379703806
EC,Delta,FZ,0.0008968726282360224,0.000176245679595695
EC,Delta,O2,0.0008958781180619176,0.00027340268466520757
EC,Delta,F6,0.0008950785646988792,0.00020924303538734867
EC,Theta,PZ,0.0008948560826661676,-9.712387820821653e-05
EC,Delta,CB1,0.0008944402636557675,0.00024175907316589657
EC,Delta,C6,0.000893662395558573,0.00017968007080504476
EC,Delta,FC2,0.0008919801597266956,0.0001816699119362149
EC,Theta,POZ,0.0008901658612698317,9.695269235551555e-05
EC,Delta,PZ,0.0008874349891068901,0.00023877323791292548
EC,Delta,FC1,0.000885428090840206,0.0002719137431132968
EC,Delta,AF4,0.0008793112374175633,8.93116523761041e-05
EC,Theta,CP1,0.0008765814578192005,4.985889896510397e-05
EC,Theta,CZ,0.0008737926033146292,4.248963100233612e-05
EC,Delta,T8,0.000870441866369923,0.00017007079651591348
EC,Theta,P1,0.0008700653011111419,2.877319832795339e-05
EC,Delta,FT8,0.0008629778003672317,0.00022803900026958427
EC,Delta,FC4,0.0008619971424259173,0.000327797405574901
