state,channel,channel_index,frequency_hz,frequency_bin,band,mean_signed_attribution,mean_abs_attribution,std_abs_attribution,n_samples,positive_mean_abs_attribution,negative_mean_abs_attribution,correct_only_mean_abs_attribution
EC,PO3,52,31.0,61,Gamma,-0.00018996887310319453,0.00022088146999823854,0.0024207950283046385,190,3.3775921393097685e-05,0.00042877652400395065,0.00026022168386737705
EO,FT8,22,17.5,34,Beta Low,2.22322626086645e-05,0.0002208398744187138,0.00022528922037724354,190,0.00024126407385889774,0.00019814631948517606,0.00021667052015059642
EC,P2,46,38.5,76,Gamma,-0.00019944310332125685,0.00022082388566706392,0.0025586992999476386,190,3.421913530736383e-05,0.0004281624971778418,0.00025214262959983197
EO,T8,31,0.5,0,Delta,-3.5328088180996e-05,0.00022081231105208846,0.00028219181625967584,190,0.0002547850505470398,0.00018306482272436477,0.00023759528287553718
EC,OZ,59,32.0,63,Gamma,-0.00018617383741061623,0.00022067428467210736,0.0025741253753424455,190,2.7852443665384e-05,0.00043492077467957775,0.00025924032524294726
EC,FC3,16,30.0,59,Gamma,0.00017576138463134161,0.0002205109001801906,0.0025464928447457218,190,2.64868454552641e-05,0.00043609318320788666,0.0002600247735727182
EC,PO5,51,19.5,38,Beta Medium,-0.00018740889774287068,0.00022044797452671039,0.002542209400949855,190,3.089269281564749e-05,0.00043106495420566917,0.0002566833389401663
EO,FT8,22,17.0,33,Beta Low,4.990664321268542e-05,0.00022021762910831574,0.0002714321012445976,190,0.00022092895302759367,0.00021942726919800692,0.00020914057873896777
EO,F8,13,15.0,29,Beta Low,6.526549202918892e-05,0.00022020611336568189,0.00024691378322805395,190,0.00023846726860480584,0.00019991594087776638,0.00022904904842888175
EC,CP2,37,43.5,86,Gamma,0.00019343672240319963,0.00022014072826526078,0.0026453198747024655,190,2.295773068773403e-05,0.0004392329477958461,0.00026058390907477205
EC,FT8,22,11.0,21,Alpha,-0.0001796061917886366,0.00021998265943028308,0.0025545882248487186,190,2.7335140692545645e-05,0.0004340354580277692,0.00025733186234044305
EC,O1,58,28.5,56,Beta High,-0.00018723595563015425,0.000219912051261584,0.0024356794153144825,190,3.655687412809915e-05,0.000423640025854345,0.00025787888908824174
EC,P1,44,18.0,35,Beta Medium,-0.00019378186664319397,0.00021987081659822838,0.0023478473175543332,190,5.719010883782417e-05,0.00040062715855423303,0.0002559973224892916
