model_group,seed,threshold,threshold_method,ensemble_members,ensemble_weighting,n_subjects,n_seeds,exploratory,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,brier_score,tn,fp,fn,tp,roc_auc,pr_auc
psd_segbarlow_ssl_cnn,7,0.5,leave_one_seed_out_oof,psd_segbarlow_ssl_cnn,single_model,19,10,False,0.8947368421052632,0.8888888888888888,1.0,0.7777777777777778,0.8333333333333334,0.9090909090909091,0.15907037214560715,7,2,0,10,0.8888888888888888,0.891976911976912
psd_segbarlow_ssl_cnn,13,0.5,leave_one_seed_out_oof,psd_segbarlow_ssl_cnn,single_model,19,10,False,0.8421052631578947,0.8333333333333333,1.0,0.6666666666666666,0.7692307692307693,0.8695652173913043,0.20076407868043913,6,3,0,10,0.7444444444444445,0.7094122544122544
psd_segbarlow_ssl_cnn,21,0.5,leave_one_seed_out_oof,psd_segbarlow_ssl_cnn,single_model,19,10,False,0.7894736842105263,0.7777777777777778,1.0,0.5555555555555556,0.7142857142857143,0.8333333333333334,0.20736946471389095,5,4,0,10,0.7777777777777779,0.7744122544122544
psd_segbarlow_ssl_cnn,42,0.5,leave_one_seed_out_oof,psd_segbarlow_ssl_cnn,single_model,19,10,False,0.7894736842105263,0.7833333333333333,0.9,0.6666666666666666,0.75,0.8181818181818182,0.2266104407045978,6,3,1,9,0.8,0.8344336219336219
wpli_segbarlow_ssl_cnn,0,0.5,fixed_0.5,wpli_segbarlow_ssl_cnn,single_model,19,10,False,0.6842105263157895,0.6722222222222223,0.9,0.4444444444444444,0.6428571428571429,0.75,0.2123079758640952,4,5,1,9,0.788888888888889,0.8026723276723275
wpli_segbarlow_ssl_cnn,1,0.5,fixed_0.5,wpli_segbarlow_ssl_cnn,single_model,19,10,False,0.7894736842105263,0.7777777777777778,1.0,0.5555555555555556,0.7142857142857143,0.8333333333333334,0.19305138886519654,5,4,0,10,0.7555555555555555,0.6939177489177489
wpli_segbarlow_ssl_cnn,2,0.5,fixed_0.5,wpli_segbarlow_ssl_cnn,single_model,19,10,False,0.8421052631578947,0.8333333333333333,1.0,0.6666666666666666,0.7692307692307693,0.8695652173913043,0.17752012185446917,6,3,0,10,0.8111111111111112,0.7777960927960927
wpli_segbarlow_ssl_cnn,3,0.5,fixed_0.5,wpli_segbarlow_ssl_cnn,single_model,19,10,False,0.7894736842105263,0.7777777777777778,1.0,0.5555555555555556,0.7142857142857143,0.8333333333333334,0.1835964948438388,5,4,0,10,0.8555555555555556,0.8803646353646353
wpli_segbarlow_ssl_cnn,4,0.5,fixed_0.5,wpli_segbarlow_ssl_cnn,single_model,19,10,False,0.8421052631578947,0.8333333333333333,1.0,0.6666666666666666,0.7692307692307693,0.8695652173913043,0.16951554242243802,6,3,0,10,0.8666666666666667,0.8748523698523698
wpli_segbarlow_ssl_cnn,5,0.5,fixed_0.5,wpli_segbarlow_ssl_cnn,single_model,19,10,False,0.8421052631578947,0.8333333333333333,1.0,0.6666666666666666,0.7692307692307693,0.8695652173913043,0.1768680358925938,6,3,0,10,0.8333333333333334,0.8488566988566988
wpli_segbarlow_ssl_cnn,7,0.5,fixed_0.5,wpli_segbarlow_ssl_cnn,single_model,19,10,False,0.8421052631578947,0.8333333333333333,1.0,0.6666666666666666,0.7692307692307693,0.8695652173913043,0.19763649741765796,6,3,0,10,0.8333333333333334,0.8529836829836829
wpli_segbarlow_ssl_cnn,13,0.5,fixed_0.5,wpli_segbarlow_ssl_cnn,single_model,19,10,False,0.8421052631578947,0.8333333333333333,1.0,0.6666666666666666,0.7692307692307693,0.8695652173913043,0.1890080903693512,6,3,0,10,0.8666666666666667,0.8946503496503496
wpli_segbarlow_ssl_cnn,21,0.5,fixed_0.5,wpli_segbarlow_ssl_cnn,single_model,19,10,False,0.7368421052631579,0.7222222222222222,1.0,0.4444444444444444,0.6666666666666666,0.8,0.20695660273298275,4,5,0,10,0.8444444444444444,0.8778860028860028
wpli_segbarlow_ssl_cnn,42,0.5,fixed_0.5,wpli_segbarlow_ssl_cnn,single_model,19,10,False,0.7894736842105263,0.7777777777777778,1.0,0.5555555555555556,0.7142857142857143,0.8333333333333334,0.19502246444526114,5,4,0,10,0.8111111111111112,0.7777960927960927
wpli_segbarlow_ssl_cnn,0,0.5,leave_one_seed_out_oof,wpli_segbarlow_ssl_cnn,single_model,19,10,False,0.6842105263157895,0.6722222222222223,0.9,0.4444444444444444,0.6428571428571429,0.75,0.2123079758640952,4,5,1,9,0.788888888888889,0.8026723276723275
wpli_segbarlow_ssl_cnn,1,0.5083054006099701,leave_one_seed_out_oof,wpli_segbarlow_ssl_cnn,single_model,19,10,False,0.7894736842105263,0.7777777777777778,1.0,0.5555555555555556,0.7142857142857143,0.8333333333333334,0.19305138886519654,5,4,0,10,0.7555555555555555,0.6939177489177489
wpli_segbarlow_ssl_cnn,2,0.5083054006099701,leave_one_seed_out_oof,wpli_segbarlow_ssl_cnn,single_model,19,10,False,0.8421052631578947,0.8333333333333333,1.0,0.6666666666666666,0.7692307692307693,0.8695652173913043,0.17752012185446917,6,3,0,10,0.8111111111111112,0.7777960927960927
wpli_segbarlow_ssl_cnn,3,0.5083054006099701,leave_one_seed_out_oof,wpli_segbarlow_ssl_cnn,single_model,19,10,False,0.7894736842105263,0.7777777777777778,1.0,0.5555555555555556,0.7142857142857143,0.8333333333333334,0.1835964948438388,5,4,0,10,0.8555555555555556,0.8803646353646353
wpli_segbarlow_ssl_cnn,4,0.5083054006099701,leave_one_seed_out_oof,wpli_segbarlow_ssl_cnn,single_model,19,10,False,0.8421052631578947,0.8333333333333333,1.0,0.6666666666666666,0.7692307692307693,0.8695652173913043,0.16951554242243802,6,3,0,10,0.8666666666666667,0.8748523698523698
wpli_segbarlow_ssl_cnn,5,0.5083054006099701,leave_one_seed_out_oof,wpli_segbarlow_ssl_cnn,single_model,19,10,False,0.8421052631578947,0.8333333333333333,1.0,0.6666666666666666,0.7692307692307693,0.8695652173913043,0.1768680358925938,6,3,0,10,0.8333333333333334,0.8488566988566988
wpli_segbarlow_ssl_cnn,7,0.4976879358291626,leave_one_seed_out_oof,wpli_segbarlow_ssl_cnn,single_model,19,10,False,0.7894736842105263,0.7777777777777778,1.0,0.5555555555555556,0.7142857142857143,0.8333333333333334,0.19763649741765796,5,4,0,10,0.8333333333333334,0.8529836829836829
wpli_segbarlow_ssl_cnn,13,0.5083054006099701,leave_one_seed_out_oof,wpli_segbarlow_ssl_cnn,single_model,19,10,False,0.7894736842105263,0.7833333333333333,0.9,0.6666666666666666,0.75,0.8181818181818182,0.1890080903693512,6,3,1,9,0.8666666666666667,0.8946503496503496
wpli_segbarlow_ssl_cnn,21,0.5086740553379059,leave_one_seed_out_oof,wpli_segbarlow_ssl_cnn,single_model,19,10,False,0.6842105263157895,0.6722222222222223,0.9,0.4444444444444444,0.6428571428571429,0.75,0.20695660273298275,4,5,1,9,0.8444444444444444,0.8778860028860028
wpli_segbarlow_ssl_cnn,42,0.5083054006099701,leave_one_seed_out_oof,wpli_segbarlow_ssl_cnn,single_model,19,10,False,0.7894736842105263,0.7777777777777778,1.0,0.5555555555555556,0.7142857142857143,0.8333333333333334,0.19502246444526114,5,4,0,10,0.8111111111111112,0.7777960927960927
